mean,std,skew,kurt,max,min,freq_peak,signal_energy,segment_id,split,domain,label
2.1862853408003083e-17,0.9999999829189857,0.026715556923422947,0.4992859691684348,5.417950388757137,-5.717407618357867,3,6922239763.522242,20240423_15_30_05_segment_0,train,source,0
-1.0931426704001541e-17,0.9999999704706882,0.05218243007984425,0.67002298346695,5.0917323516050494,-4.8645007621732415,7106,6922239591.182039,20240423_12_44_14_segment_0,train,source,0
8.198570028001157e-18,0.9999999732725781,-0.0027063999728469436,0.2440068266812494,4.8723236451050544,-4.471204156827106,3641,6922239629.972746,20240423_13_48_43_segment_0,train,source,0
-1.9129996732002697e-17,0.9999999734253917,-0.024304202918450014,0.13085364538441357,4.784981121598644,-4.795357850592524,2,6922239632.08837,20240423_13_53_30_segment_0,train,source,0
1.708035422500241e-17,0.9999999720635652,-0.005165542627445896,-0.016802681319247448,4.144117463582677,-4.888170793932878,1677,6922239613.234594,20240423_13_08_07_segment_0,train,source,0
1.6397140056002314e-17,0.9999999811719448,-0.025360413220161897,6.067855205726341,11.663399261012755,-16.40165334266276,2,6922239739.33537,20240423_16_38_54_segment_0,train,source,0
2.1862853408003083e-17,0.9999999732423938,-0.1232640342919971,0.7188167651569004,5.691643072016593,-6.065733957774103,737,6922239629.55486,20240423_13_35_10_segment_0,train,source,0
-2.7328566760003853e-18,0.9999999785278889,-0.039612213384035234,0.34483517785917916,5.619282794525879,-5.781730521909201,4,6922239702.72979,20240423_15_11_21_segment_0,train,source,0
2.1862853408003083e-17,0.9999999749901556,0.034284215225314475,0.012406769377000693,4.16349834697322,-4.1285519216313125,1677,6922239653.751714,20240423_14_16_30_segment_0,train,source,0
-1.9129996732002697e-17,0.999999972197323,-0.07495456380245762,0.859508021783804,6.571135427493589,-6.187202410123311,5317,6922239615.086399,20240423_13_15_41_segment_0,train,source,0
6.832141690000964e-18,0.9999999715754139,0.04161864399211643,7.96016100597018,12.7455535859943,-17.359263352343103,2764,6922239606.476393,20240423_13_17_50_segment_0,train,source,0
-5.465713352000771e-18,0.9999999716663031,0.09314646153319918,2.3254974265657644,7.267136114436364,-7.209083413393625,7,6922239607.734705,20240423_13_23_35_segment_0,train,source,0
